Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
03/03/2026,Kolkata,52.89,251.41,14.02,76.1,2.21,145.9,102,Moderate
04/03/2026,Bengaluru,233.48,238.63,7.92,76.15,4.68,116.74,175,Moderate
05/03/2026,Delhi,204.91,101.77,115.7,46.73,4.36,23.9,136,Moderate
06/03/2026,Kolkata,163.85,257.9,101.14,51.28,0.42,158.51,167,Moderate
07/03/2026,Mumbai,219.79,105.92,85.04,36.98,0.33,166.55,160,Moderate
08/03/2026,Surat,203.86,134.13,52.03,24.87,2.01,20.38,131,Moderate
09/03/2026,Delhi,58.84,268.88,24.93,27.64,4.09,57.07,94,Satisfactory
10/03/2026,Surat,224.75,237.88,22.99,54.46,4.94,147.05,177,Moderate
11/03/2026,Chennai,141.75,301.75,33.78,60.69,0.92,137.2,153,Moderate
12/03/2026,Mumbai,204.75,240.44,68.16,63.74,3.05,41.37,160,Moderate
13/03/2026,Mumbai,225.58,211.86,87.18,63.59,2.03,45.59,167,Moderate
14/03/2026,Delhi,89.73,59.98,80.92,9.11,4.86,72.98,76,Satisfactory
15/03/2026,Mumbai,40.86,147.67,37.19,40.56,4.24,92.37,69,Satisfactory
16/03/2026,Bengaluru,68.56,114.86,114.81,6.49,4.22,115.1,89,Satisfactory
17/03/2026,Mumbai,115.37,108.08,89.86,44.86,2.45,72.72,100,Satisfactory
18/03/2026,Surat,207.23,341.36,68.75,36.44,2.19,88.63,187,Moderate
19/03/2026,Surat,217.27,155.79,75.35,71.24,1.51,137.07,164,Moderate
20/03/2026,Kolkata,16.63,315.45,53.25,29.37,0.47,16.24,82,Satisfactory
21/03/2026,Surat,135.03,231.96,33.49,11.13,4.35,52.91,121,Moderate
22/03/2026,Kolkata,113.09,284.34,45.94,13.15,4.1,131.27,135,Moderate
23/03/2026,Surat,67.2,190.84,92.15,61.4,5.0,162.19,110,Moderate
24/03/2026,Bengaluru,43.17,214.61,6.66,50.22,4.98,96.99,80,Satisfactory
25/03/2026,Pune,94.34,187.61,18.35,9.89,2.87,100.46,98,Satisfactory
26/03/2026,Kolkata,236.58,92.48,10.29,8.56,3.89,28.22,131,Moderate
27/03/2026,Ahmedabad,90.95,261.18,9.68,56.68,4.73,86.06,110,Moderate
28/03/2026,Chennai,136.92,119.85,103.38,7.68,4.28,100.54,117,Moderate
29/03/2026,Delhi,180.21,37.78,85.92,66.11,1.39,51.22,113,Moderate
30/03/2026,Surat,100.45,236.55,59.53,57.09,2.36,55.77,113,Moderate
31/03/2026,Mumbai,243.37,86.68,16.25,8.35,0.82,74.14,141,Moderate
01/04/2026,Pune,241.18,330.95,61.54,8.62,4.78,13.41,186,Moderate
02/04/2026,Surat,74.17,335.26,59.45,78.96,3.11,64.75,123,Moderate
03/04/2026,Mumbai,131.85,322.76,24.92,31.19,1.3,45.95,136,Moderate
04/04/2026,Chennai,85.71,148.45,54.89,30.91,3.42,65.67,88,Satisfactory
05/04/2026,Chennai,81.94,34.95,50.83,65.4,3.17,30.36,59,Satisfactory
06/04/2026,Chennai,23.67,327.06,75.82,75.89,1.92,161.39,115,Moderate
07/04/2026,Mumbai,158.25,167.02,78.04,78.91,0.75,110.91,137,Moderate
08/04/2026,Surat,133.13,339.33,10.21,60.76,3.42,125.45,151,Moderate
09/04/2026,Chennai,27.1,338.36,48.08,31.35,2.7,144.16,110,Moderate
10/04/2026,Bengaluru,80.48,302.96,76.97,8.51,3.91,94.74,123,Moderate
