ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
02/05/2020,Delhi,India,2020-02-05 00:00:00,3979,166,3309
02/06/2020,Delhi,India,2020-02-06 00:00:00,4470,182,3698
02/07/2020,Delhi,India,2020-02-07 00:00:00,4736,196,4058
02/08/2020,Delhi,India,2020-02-08 00:00:00,5166,213,4184
02/09/2020,Delhi,India,2020-02-09 00:00:00,5352,232,4390
02/10/2020,Delhi,India,2020-02-10 00:00:00,5461,252,4731
02/11/2020,Delhi,India,2020-02-11 00:00:00,5514,258,4968
02/12/2020,Delhi,India,2020-02-12 00:00:00,5876,271,5183
02/13/2020,Delhi,India,2020-02-13 00:00:00,6372,291,5305
02/14/2020,Delhi,India,2020-02-14 00:00:00,6457,304,5370
02/15/2020,Delhi,India,2020-02-15 00:00:00,6928,305,5568
02/16/2020,Delhi,India,2020-02-16 00:00:00,7108,316,5821
02/17/2020,Delhi,India,2020-02-17 00:00:00,7375,322,6162
02/18/2020,Delhi,India,2020-02-18 00:00:00,7808,331,6420
02/19/2020,Delhi,India,2020-02-19 00:00:00,8213,340,6699
02/20/2020,Delhi,India,2020-02-20 00:00:00,8518,356,6853
01/22/2020,Rajasthan,India,2020-01-22 00:00:00,738,25,472
01/23/2020,Rajasthan,India,2020-01-23 00:00:00,929,40,720
01/24/2020,Rajasthan,India,2020-01-24 00:00:00,1415,55,1040
01/25/2020,Rajasthan,India,2020-01-25 00:00:00,1710,57,1413
01/26/2020,Rajasthan,India,2020-01-26 00:00:00,2036,68,1802
01/27/2020,Rajasthan,India,2020-01-27 00:00:00,2293,73,2130
01/28/2020,Rajasthan,India,2020-01-28 00:00:00,2555,91,2183
01/29/2020,Rajasthan,India,2020-01-29 00:00:00,2909,100,2211
01/30/2020,Rajasthan,India,2020-01-30 00:00:00,3261,110,2564
01/31/2020,Rajasthan,India,2020-01-31 00:00:00,3475,112,2963
02/01/2020,Rajasthan,India,2020-02-01 00:00:00,3728,131,3174
02/02/2020,Rajasthan,India,2020-02-02 00:00:00,3922,150,3289
02/03/2020,Rajasthan,India,2020-02-03 00:00:00,4095,155,3466
02/04/2020,Rajasthan,India,2020-02-04 00:00:00,4193,172,3513
02/05/2020,Rajasthan,India,2020-02-05 00:00:00,4355,190,3570
02/06/2020,Rajasthan,India,2020-02-06 00:00:00,4620,196,3881
02/07/2020,Rajasthan,India,2020-02-07 00:00:00,4962,210,4204
02/08/2020,Rajasthan,India,2020-02-08 00:00:00,5020,222,4327
02/09/2020,Rajasthan,India,2020-02-09 00:00:00,5243,240,4444
02/10/2020,Rajasthan,India,2020-02-10 00:00:00,5560,258,4631
02/11/2020,Rajasthan,India,2020-02-11 00:00:00,6055,259,4987
02/12/2020,Rajasthan,India,2020-02-12 00:00:00,6459,277,5032
02/13/2020,Rajasthan,India,2020-02-13 00:00:00,6527,295,5239
02/14/2020,Rajasthan,India,2020-02-14 00:00:00,7017,307,5425
02/15/2020,Rajasthan,India,2020-02-15 00:00:00,7374,327,5532
02/16/2020,Rajasthan,India,2020-02-16 00:00:00,7819,332,5612
02/17/2020,Rajasthan,India,2020-02-17 00:00:00,8179,343,5716
02/18/2020,Rajasthan,India,2020-02-18 00:00:00,8244,360,5997
02/19/2020,Rajasthan,India,2020-02-19 00:00:00,8706,371,6062
02/20/2020,Rajasthan,India,2020-02-20 00:00:00,8959,385,6377
01/22/2020,New York,USA,2020-01-22 00:00:00,949,15,399
01/23/2020,New York,USA,2020-01-23 00:00:00,1240,34,650
01/24/2020,New York,USA,2020-01-24 00:00:00,1659,48,979
01/25/2020,New York,USA,2020-01-25 00:00:00,1798,59,1215
01/26/2020,New York,USA,2020-01-26 00:00:00,2269,69,1521
01/27/2020,New York,USA,2020-01-27 00:00:00,2581,83,1739
01/28/2020,New York,USA,2020-01-28 00:00:00,2730,86,1980
01/29/2020,New York,USA,2020-01-29 00:00:00,3108,90,2021
01/30/2020,New York,USA,2020-01-30 00:00:00,3598,95,2368
01/31/2020,New York,USA,2020-01-31 00:00:00,3972,101,2679
02/01/2020,New York,USA,2020-02-01 00:00:00,4241,112,2985
02/02/2020,New York,USA,2020-02-02 00:00:00,4483,113,3314
02/03/2020,New York,USA,2020-02-03 00:00:00,4559,118,3493
02/04/2020,New York,USA,2020-02-04 00:00:00,4723,119,3809
02/05/2020,New York,USA,2020-02-05 00:00:00,4863,122,4154
02/06/2020,New York,USA,2020-02-06 00:00:00,5202,133,4269
02/07/2020,New York,USA,2020-02-07 00:00:00,5406,134,4491
02/08/2020,New York,USA,2020-02-08 00:00:00,5762,147,4550
02/09/2020,New York,USA,2020-02-09 00:00:00,5988,153,4821
02/10/2020,New York,USA,2020-02-10 00:00:00,6121,158,5048
02/11/2020,New York,USA,2020-02-11 00:00:00,6585,172,5236
02/12/2020,New York,USA,2020-02-12 00:00:00,7084,173,5344
02/13/2020,New York,USA,2020-02-13 00:00:00,7560,178,5661
02/14/2020,New York,USA,2020-02-14 00:00:00,7971,191,5759
02/15/2020,New York,USA,2020-02-15 00:00:00,8283,211,6135
02/16/2020,New York,USA,2020-02-16 00:00:00,8533,214,6358
02/17/2020,New York,USA,2020-02-17 00:00:00,8999,217,6498
02/18/2020,New York,USA,2020-02-18 00:00:00,9103,230,6887
02/19/2020,New York,USA,2020-02-19 00:00:00,9480,239,7277
02/20/2020,New York,USA,2020-02-20 00:00:00,9678,256,7629
01/22/2020,California,USA,2020-01-22 00:00:00,1445,19,381
01/23/2020,California,USA,2020-01-23 00:00:00,1738,38,526
01/24/2020,California,USA,2020-01-24 00:00:00,2060,47,552
01/25/2020,California,USA,2020-01-25 00:00:00,2450,52,918
01/26/2020,California,USA,2020-01-26 00:00:00,2697,59,987
01/27/2020,California,USA,2020-01-27 00:00:00,3008,79,1249
01/28/2020,California,USA,2020-01-28 00:00:00,3109,97,1473
01/29/2020,California,USA,2020-01-29 00:00:00,3457,103,1640
01/30/2020,California,USA,2020-01-30 00:00:00,3688,105,1756
01/31/2020,California,USA,2020-01-31 00:00:00,4056,122,2047
02/01/2020,California,USA,2020-02-01 00:00:00,4119,124,2271
02/02/2020,California,USA,2020-02-02 00:00:00,4584,125,2299
02/03/2020,California,USA,2020-02-03 00:00:00,4968,138,2492
02/04/2020,California,USA,2020-02-04 00:00:00,5444,143,2884
02/05/2020,California,USA,2020-02-05 00:00:00,5518,154,3070
02/06/2020,California,USA,2020-02-06 00:00:00,5888,169,3177
02/07/2020,California,USA,2020-02-07 00:00:00,5947,175,3262
02/08/2020,California,USA,2020-02-08 00:00:00,6145,181,3408
02/09/2020,California,USA,2020-02-09 00:00:00,6321,193,3742
02/10/2020,California,USA,2020-02-10 00:00:00,6650,211,4066
02/11/2020,California,USA,2020-02-11 00:00:00,6914,228,4101
02/12/2020,California,USA,2020-02-12 00:00:00,7028,228,4184
02/13/2020,California,USA,2020-02-13 00:00:00,7092,229,4555
02/14/2020,California,USA,2020-02-14 00:00:00,7536,234,4638
02/15/2020,California,USA,2020-02-15 00:00:00,7940,246,4692
02/16/2020,California,USA,2020-02-16 00:00:00,7997,259,5090
02/17/2020,California,USA,2020-02-17 00:00:00,8385,264,5429
02/18/2020,California,USA,2020-02-18 00:00:00,8650,265,5731
02/19/2020,California,USA,2020-02-19 00:00:00,8786,266,6110
02/20/2020,California,USA,2020-02-20 00:00:00,9028,284,6365
01/22/2020,Texas,USA,2020-01-22 00:00:00,633,22,364
01/23/2020,Texas,USA,2020-01-23 00:00:00,918,37,747
01/24/2020,Texas,USA,2020-01-24 00:00:00,1333,48,1107
01/25/2020,Texas,USA,2020-01-25 00:00:00,1419,52,1262
01/26/2020,Texas,USA,2020-01-26 00:00:00,1598,57,1328
01/27/2020,Texas,USA,2020-01-27 00:00:00,1883,57,1426
01/28/2020,Texas,USA,2020-01-28 00:00:00,2075,59,1714
01/29/2020,Texas,USA,2020-01-29 00:00:00,2282,63,1787
01/30/2020,Texas,USA,2020-01-30 00:00:00,2606,66,1954
01/31/2020,Texas,USA,2020-01-31 00:00:00,3017,85,2145
02/01/2020,Texas,USA,2020-02-01 00:00:00,3481,85,2459
02/02/2020,Texas,USA,2020-02-02 00:00:00,3663,105,2743
02/03/2020,Texas,USA,2020-02-03 00:00:00,3931,121,2837
02/04/2020,Texas,USA,2020-02-04 00:00:00,4346,122,3181
02/05/2020,Texas,USA,2020-02-05 00:00:00,4424,141,3231
02/06/2020,Texas,USA,2020-02-06 00:00:00,4804,147,3525
02/07/2020,Texas,USA,2020-02-07 00:00:00,4861,153,3620
02/08/2020,Texas,USA,2020-02-08 00:00:00,5067,166,3717
02/09/2020,Texas,USA,2020-02-09 00:00:00,5556,166,3928
02/10/2020,Texas,USA,2020-02-10 00:00:00,5870,169,4192
02/11/2020,Texas,USA,2020-02-11 00:00:00,6073,183,4449
02/12/2020,Texas,USA,2020-02-12 00:00:00,6212,203,4541
02/13/2020,Texas,USA,2020-02-13 00:00:00,6276,215,4872
02/14/2020,Texas,USA,2020-02-14 00:00:00,6404,229,5228
02/15/2020,Texas,USA,2020-02-15 00:00:00,6812,234,5421
02/16/2020,Texas,USA,2020-02-16 00:00:00,7121,249,5520
02/17/2020,Texas,USA,2020-02-17 00:00:00,7193,264,5842
02/18/2020,Texas,USA,2020-02-18 00:00:00,7442,269,6102
02/19/2020,Texas,USA,2020-02-19 00:00:00,7851,277,6230
02/20/2020,Texas,USA,2020-02-20 00:00:00,8154,293,6430
01/22/2020,Sao Paulo,Brazil,2020-01-22 00:00:00,1256,35,312
01/23/2020,Sao Paulo,Brazil,2020-01-23 00:00:00,1382,55,494
01/24/2020,Sao Paulo,Brazil,2020-01-24 00:00:00,1810,65,580
01/25/2020,Sao Paulo,Brazil,2020-01-25 00:00:00,1888,79,627
01/26/2020,Sao Paulo,Brazil,2020-01-26 00:00:00,2282,89,917
01/27/2020,Sao Paulo,Brazil,2020-01-27 00:00:00,2599,90,1131
01/28/2020,Sao Paulo,Brazil,2020-01-28 00:00:00,2961,92,1508
01/29/2020,Sao Paulo,Brazil,2020-01-29 00:00:00,3380,93,1593
01/30/2020,Sao Paulo,Brazil,2020-01-30 00:00:00,3447,93,1800
01/31/2020,Sao Paulo,Brazil,2020-01-31 00:00:00,3719,100,2157
02/01/2020,Sao Paulo,Brazil,2020-02-01 00:00:00,4013,118,2515
02/02/2020,Sao Paulo,Brazil,2020-02-02 00:00:00,4433,120,2587
02/03/2020,Sao Paulo,Brazil,2020-02-03 00:00:00,4517,131,2840
02/04/2020,Sao Paulo,Brazil,2020-02-04 00:00:00,4786,140,2950
02/05/2020,Sao Paulo,Brazil,2020-02-05 00:00:00,5219,144,3292
02/06/2020,Sao Paulo,Brazil,2020-02-06 00:00:00,5473,161,3669
02/07/2020,Sao Paulo,Brazil,2020-02-07 00:00:00,5799,167,4037
02/08/2020,Sao Paulo,Brazil,2020-02-08 00:00:00,6230,174,4425
02/09/2020,Sao Paulo,Brazil,2020-02-09 00:00:00,6359,186,4556
02/10/2020,Sao Paulo,Brazil,2020-02-10 00:00:00,6850,202,4882
02/11/2020,Sao Paulo,Brazil,2020-02-11 00:00:00,7150,214,4999
02/12/2020,Sao Paulo,Brazil,2020-02-12 00:00:00,7234,231,5392
02/13/2020,Sao Paulo,Brazil,2020-02-13 00:00:00,7667,235,5722
02/14/2020,Sao Paulo,Brazil,2020-02-14 00:00:00,8019,252,5808
02/15/2020,Sao Paulo,Brazil,2020-02-15 00:00:00,8105,264,6061
02/16/2020,Sao Paulo,Brazil,2020-02-16 00:00:00,8200,270,6087
02/17/2020,Sao Paulo,Brazil,2020-02-17 00:00:00,8482,275,6447
02/18/2020,Sao Paulo,Brazil,2020-02-18 00:00:00,8619,286,6663
02/19/2020,Sao Paulo,Brazil,2020-02-19 00:00:00,8992,292,6809
02/20/2020,Sao Paulo,Brazil,2020-02-20 00:00:00,9212,301,7130
01/22/2020,Rio de Janeiro,Brazil,2020-01-22 00:00:00,663,17,209
01/23/2020,Rio de Janeiro,Brazil,2020-01-23 00:00:00,887,17,395
01/24/2020,Rio de Janeiro,Brazil,2020-01-24 00:00:00,1282,26,671
01/25/2020,Rio de Janeiro,Brazil,2020-01-25 00:00:00,1729,44,715
01/26/2020,Rio de Janeiro,Brazil,2020-01-26 00:00:00,1987,53,970
01/27/2020,Rio de Janeiro,Brazil,2020-01-27 00:00:00,2124,56,1204
01/28/2020,Rio de Janeiro,Brazil,2020-01-28 00:00:00,2393,58,1285
01/29/2020,Rio de Janeiro,Brazil,2020-01-29 00:00:00,2679,63,1342
01/30/2020,Rio de Janeiro,Brazil,2020-01-30 00:00:00,3148,75,1634
01/31/2020,Rio de Janeiro,Brazil,2020-01-31 00:00:00,3239,75,1920
02/01/2020,Rio de Janeiro,Brazil,2020-02-01 00:00:00,3712,92,2073
02/02/2020,Rio de Janeiro,Brazil,2020-02-02 00:00:00,4054,107,2136
02/03/2020,Rio de Janeiro,Brazil,2020-02-03 00:00:00,4319,110,2364
02/04/2020,Rio de Janeiro,Brazil,2020-02-04 00:00:00,4804,125,2497
02/05/2020,Rio de Janeiro,Brazil,2020-02-05 00:00:00,5055,125,2744
02/06/2020,Rio de Janeiro,Brazil,2020-02-06 00:00:00,5339,145,3054
02/07/2020,Rio de Janeiro,Brazil,2020-02-07 00:00:00,5753,160,3430
02/08/2020,Rio de Janeiro,Brazil,2020-02-08 00:00:00,6017,169,3737
02/09/2020,Rio de Janeiro,Brazil,2020-02-09 00:00:00,6403,173,3987
02/10/2020,Rio de Janeiro,Brazil,2020-02-10 00:00:00,6538,180,4248
02/11/2020,Rio de Janeiro,Brazil,2020-02-11 00:00:00,6843,198,4507
02/12/2020,Rio de Janeiro,Brazil,2020-02-12 00:00:00,7099,207,4809
02/13/2020,Rio de Janeiro,Brazil,2020-02-13 00:00:00,7378,226,4840
02/14/2020,Rio de Janeiro,Brazil,2020-02-14 00:00:00,7684,243,5048
02/15/2020,Rio de Janeiro,Brazil,2020-02-15 00:00:00,8057,257,5223
02/16/2020,Rio de Janeiro,Brazil,2020-02-16 00:00:00,8201,264,5357
02/17/2020,Rio de Janeiro,Brazil,2020-02-17 00:00:00,8442,283,5459
02/18/2020,Rio de Janeiro,Brazil,2020-02-18 00:00:00,8763,283,5756
02/19/2020,Rio de Janeiro,Brazil,2020-02-19 00:00:00,9102,284,5805
02/20/2020,Rio de Janeiro,Brazil,2020-02-20 00:00:00,9236,297,5982
01/22/2020,Lombardy,Italy,2020-01-22 00:00:00,404,20,183
01/23/2020,Lombardy,Italy,2020-01-23 00:00:00,475,36,328
01/24/2020,Lombardy,Italy,2020-01-24 00:00:00,543,36,420
01/25/2020,Lombardy,Italy,2020-01-25 00:00:00,940,51,672
01/26/2020,Lombardy,Italy,2020-01-26 00:00:00,1384,62,703
01/27/2020,Lombardy,Italy,2020-01-27 00:00:00,1649,82,1071
01/28/2020,Lombardy,Italy,2020-01-28 00:00:00,1881,90,1099
01/29/2020,Lombardy,Italy,2020-01-29 00:00:00,2010,98,1140
01/30/2020,Lombardy,Italy,2020-01-30 00:00:00,2132,118,1511
01/31/2020,Lombardy,Italy,2020-01-31 00:00:00,2522,125,1589
02/01/2020,Lombardy,Italy,2020-02-01 00:00:00,2835,140,1760
02/02/2020,Lombardy,Italy,2020-02-02 00:00:00,3064,150,2062
02/03/2020,Lombardy,Italy,2020-02-03 00:00:00,3332,160,2387
02/04/2020,Lombardy,Italy,2020-02-04 00:00:00,3801,169,2626
02/05/2020,Lombardy,Italy,2020-02-05 00:00:00,3879,172,2892
02/06/2020,Lombardy,Italy,2020-02-06 00:00:00,4269,183,3160
02/07/2020,Lombardy,Italy,2020-02-07 00:00:00,4690,196,3421
02/08/2020,Lombardy,Italy,2020-02-08 00:00:00,4922,198,3521
02/09/2020,Lombardy,Italy,2020-02-09 00:00:00,5269,204,3822
02/10/2020,Lombardy,Italy,2020-02-10 00:00:00,5706,214,3989
02/11/2020,Lombardy,Italy,2020-02-11 00:00:00,5857,214,4382
02/12/2020,Lombardy,Italy,2020-02-12 00:00:00,6206,227,4772
02/13/2020,Lombardy,Italy,2020-02-13 00:00:00,6648,228,5167
02/14/2020,Lombardy,Italy,2020-02-14 00:00:00,6785,233,5434
02/15/2020,Lombardy,Italy,2020-02-15 00:00:00,7019,245,5515
02/16/2020,Lombardy,Italy,2020-02-16 00:00:00,7268,252,5638
02/17/2020,Lombardy,Italy,2020-02-17 00:00:00,7612,254,5909
02/18/2020,Lombardy,Italy,2020-02-18 00:00:00,8080,255,6210
02/19/2020,Lombardy,Italy,2020-02-19 00:00:00,8559,263,6480
02/20/2020,Lombardy,Italy,2020-02-20 00:00:00,8651,282,6856
01/22/2020,Lazio,Italy,2020-01-22 00:00:00,327,12,327
01/23/2020,Lazio,Italy,2020-01-23 00:00:00,584,29,444
01/24/2020,Lazio,Italy,2020-01-24 00:00:00,985,42,822
01/25/2020,Lazio,Italy,2020-01-25 00:00:00,1152,55,1053
01/26/2020,Lazio,Italy,2020-01-26 00:00:00,1299,62,1299
01/27/2020,Lazio,Italy,2020-01-27 00:00:00,1708,73,1565
01/28/2020,Lazio,Italy,2020-01-28 00:00:00,2186,77,1686
01/29/2020,Lazio,Italy,2020-01-29 00:00:00,2646,95,2042
01/30/2020,Lazio,Italy,2020-01-30 00:00:00,3131,96,2435
01/31/2020,Lazio,Italy,2020-01-31 00:00:00,3531,112,2814
02/01/2020,Lazio,Italy,2020-02-01 00:00:00,3988,117,2930
02/02/2020,Lazio,Italy,2020-02-02 00:00:00,4078,129,3276
02/03/2020,Lazio,Italy,2020-02-03 00:00:00,4477,146,3297
02/04/2020,Lazio,Italy,2020-02-04 00:00:00,4836,162,3433
02/05/2020,Lazio,Italy,2020-02-05 00:00:00,5290,180,3620
02/06/2020,Lazio,Italy,2020-02-06 00:00:00,5501,195,3938
02/07/2020,Lazio,Italy,2020-02-07 00:00:00,5871,200,4198
02/08/2020,Lazio,Italy,2020-02-08 00:00:00,6045,212,4422
02/09/2020,Lazio,Italy,2020-02-09 00:00:00,6332,228,4496
02/10/2020,Lazio,Italy,2020-02-10 00:00:00,6597,247,4780
02/11/2020,Lazio,Italy,2020-02-11 00:00:00,7019,249,4926
02/12/2020,Lazio,Italy,2020-02-12 00:00:00,7099,252,5316
02/13/2020,Lazio,Italy,2020-02-13 00:00:00,7182,260,5462
02/14/2020,Lazio,Italy,2020-02-14 00:00:00,7374,270,5628
02/15/2020,Lazio,Italy,2020-02-15 00:00:00,7697,281,5717
02/16/2020,Lazio,Italy,2020-02-16 00:00:00,7926,299,6063
02/17/2020,Lazio,Italy,2020-02-17 00:00:00,8381,303,6441
02/18/2020,Lazio,Italy,2020-02-18 00:00:00,8467,303,6691
02/19/2020,Lazio,Italy,2020-02-19 00:00:00,8848,306,6917
02/20/2020,Lazio,Italy,2020-02-20 00:00:00,9212,325,6948
01/22/2020,England,UK,2020-01-22 00:00:00,525,26,280
01/23/2020,England,UK,2020-01-23 00:00:00,811,28,387
01/24/2020,England,UK,2020-01-24 00:00:00,901,38,739
01/25/2020,England,UK,2020-01-25 00:00:00,1287,46,838
01/26/2020,England,UK,2020-01-26 00:00:00,1663,47,1084
01/27/2020,England,UK,2020-01-27 00:00:00,2072,63,1125
01/28/2020,England,UK,2020-01-28 00:00:00,2459,64,1162
01/29/2020,England,UK,2020-01-29 00:00:00,2733,80,1392
01/30/2020,England,UK,2020-01-30 00:00:00,3064,97,1570
01/31/2020,England,UK,2020-01-31 00:00:00,3494,116,1885
02/01/2020,England,UK,2020-02-01 00:00:00,3892,127,2054
02/02/2020,England,UK,2020-02-02 00:00:00,4245,131,2311
02/03/2020,England,UK,2020-02-03 00:00:00,4665,141,2513
02/04/2020,England,UK,2020-02-04 00:00:00,4750,149,2894
02/05/2020,England,UK,2020-02-05 00:00:00,5250,158,3248
02/06/2020,England,UK,2020-02-06 00:00:00,5478,175,3320
02/07/2020,England,UK,2020-02-07 00:00:00,5657,195,3532
02/08/2020,England,UK,2020-02-08 00:00:00,5867,209,3771
02/09/2020,England,UK,2020-02-09 00:00:00,6124,214,3931
02/10/2020,England,UK,2020-02-10 00:00:00,6233,218,4235
02/11/2020,England,UK,2020-02-11 00:00:00,6599,223,4256
02/12/2020,England,UK,2020-02-12 00:00:00,6876,234,4496
02/13/2020,England,UK,2020-02-13 00:00:00,7062,239,4676
02/14/2020,England,UK,2020-02-14 00:00:00,7208,259,5039
02/15/2020,England,UK,2020-02-15 00:00:00,7323,260,5086
02/16/2020,England,UK,2020-02-16 00:00:00,7763,278,5192
02/17/2020,England,UK,2020-02-17 00:00:00,8102,295,5493
02/18/2020,England,UK,2020-02-18 00:00:00,8229,296,5807
02/19/2020,England,UK,2020-02-19 00:00:00,8430,307,6063
02/20/2020,England,UK,2020-02-20 00:00:00,8868,318,6240
01/22/2020,Scotland,UK,2020-01-22 00:00:00,1131,28,210
01/23/2020,Scotland,UK,2020-01-23 00:00:00,1614,30,561
01/24/2020,Scotland,UK,2020-01-24 00:00:00,1700,48,707
01/25/2020,Scotland,UK,2020-01-25 00:00:00,1976,65,1075
01/26/2020,Scotland,UK,2020-01-26 00:00:00,2147,83,1413
01/27/2020,Scotland,UK,2020-01-27 00:00:00,2333,100,1777
01/28/2020,Scotland,UK,2020-01-28 00:00:00,2531,101,2054
01/29/2020,Scotland,UK,2020-01-29 00:00:00,2801,111,2313
01/30/2020,Scotland,UK,2020-01-30 00:00:00,3158,112,2524
01/31/2020,Scotland,UK,2020-01-31 00:00:00,3379,127,2795
02/01/2020,Scotland,UK,2020-02-01 00:00:00,3573,144,3064
02/02/2020,Scotland,UK,2020-02-02 00:00:00,3623,155,3212
02/03/2020,Scotland,UK,2020-02-03 00:00:00,3971,173,3563
02/04/2020,Scotland,UK,2020-02-04 00:00:00,4261,178,3700
02/05/2020,Scotland,UK,2020-02-05 00:00:00,4509,191,3884
02/06/2020,Scotland,UK,2020-02-06 00:00:00,4907,199,3958
02/07/2020,Scotland,UK,2020-02-07 00:00:00,5131,202,4024
02/08/2020,Scotland,UK,2020-02-08 00:00:00,5235,210,4267
02/09/2020,Scotland,UK,2020-02-09 00:00:00,5405,215,4566
02/10/2020,Scotland,UK,2020-02-10 00:00:00,5803,220,4588
02/11/2020,Scotland,UK,2020-02-11 00:00:00,6110,237,4755
02/12/2020,Scotland,UK,2020-02-12 00:00:00,6487,242,4950
